tracking_number,origin,destination,carrier,transit_days,quantity,total_cost,weather_risk_score,traffic_risk_score,delayed,actual_delay_days
TRK-440544,Ningbo-Zhoushan (CN),Port of Oakland (US),OceanNet Logistics,24,533,5495.01,0.75,0.23,1,7.1
TRK-972442,Rotterdam (NL),Port of New York (US),Maersk Line,11,125,2006.51,0.3,0.93,1,4.3
TRK-557925,Singapore (SG),Port of Los Angeles (US),DHL Express,8,1106,2231.5,0.78,0.9,1,3.7
TRK-556839,Yokohama (JP),Port of Seattle (US),Global Freight Air,26,1823,4761.11,0.67,0.67,1,9.0
TRK-182467,Shenzhen Port (CN),Port of New York (US),FedEx Supply Chain,24,1943,3961.88,0.42,0.32,0,0.0
TRK-332335,Hamburg Port (DE),Port of Long Beach (US),Maersk Line,6,2162,2899.24,0.92,0.61,1,5.0
TRK-635280,Rotterdam (NL),Port of Los Angeles (US),Global Freight Air,34,2357,6874.63,0.46,0.55,1,9.4
TRK-634723,Ningbo-Zhoushan (CN),Port of New York (US),FedEx Supply Chain,12,592,3235.92,0.93,0.76,1,6.2
TRK-862712,Singapore (SG),Port of Vancouver (CA),DHL Express,32,1705,7701.71,0.5,0.42,1,9.0
TRK-347745,Shanghai Port (CN),Port of Long Beach (US),FedEx Supply Chain,34,1455,7179.76,0.58,0.12,0,0.0
TRK-306854,Ningbo-Zhoushan (CN),Port of Oakland (US),DHL Express,26,2101,6394.48,0.76,0.87,1,9.9
TRK-897143,Singapore (SG),Port of Vancouver (CA),Maersk Line,15,1934,5587.12,0.73,0.2,0,0.0
TRK-285751,Singapore (SG),Port of Vancouver (CA),OceanNet Logistics,12,2119,3697.64,0.65,0.2,0,0.0
TRK-586490,Singapore (SG),Port of Oakland (US),Global Freight Air,28,1977,8162.19,0.8,0.76,1,8.6
TRK-570711,Rotterdam (NL),Port of Oakland (US),Global Freight Air,32,2318,8658.29,0.21,0.51,0,0.0
TRK-438908,Singapore (SG),Port of Vancouver (CA),FedEx Supply Chain,20,1726,4034.27,0.41,0.86,1,4.5
TRK-258290,Shenzhen Port (CN),Port of Los Angeles (US),OceanNet Logistics,8,1561,3117.22,0.94,0.09,1,4.5
TRK-563688,Rotterdam (NL),Port of New York (US),FedEx Supply Chain,21,1079,2992.34,0.1,0.45,0,0.0
TRK-720148,Shanghai Port (CN),Port of New York (US),Global Freight Air,30,373,5899.27,0.57,0.42,1,8.5
TRK-177794,Hamburg Port (DE),Port of Seattle (US),OceanNet Logistics,5,253,965.39,0.51,0.25,0,0.0
TRK-139434,Shanghai Port (CN),Port of New York (US),FedEx Supply Chain,13,2024,2499.72,0.83,0.3,1,6.0
TRK-180458,Rotterdam (NL),Port of Los Angeles (US),Global Freight Air,9,750,2284.47,0.34,0.81,1,2.7
TRK-722937,Yokohama (JP),Port of Seattle (US),OceanNet Logistics,11,2138,5347.75,0.43,0.75,1,4.1
TRK-708519,Yokohama (JP),Port of Vancouver (CA),Maersk Line,19,320,3336.53,0.58,0.08,0,0.0
TRK-571579,Singapore (SG),Port of Oakland (US),DHL Express,18,574,5050.59,0.51,0.42,0,0.0
TRK-437145,Yokohama (JP),Port of Seattle (US),Global Freight Air,28,139,6656.88,0.75,0.37,1,8.6
TRK-258189,Shanghai Port (CN),Port of Seattle (US),Maersk Line,6,378,1524.98,0.54,0.53,0,0.0
TRK-950360,Singapore (SG),Port of New York (US),Maersk Line,33,799,4844.83,0.93,0.25,1,8.6
TRK-629057,Rotterdam (NL),Port of Long Beach (US),Maersk Line,33,311,4113.61,0.71,0.92,1,9.7
TRK-359778,Rotterdam (NL),Port of Seattle (US),OceanNet Logistics,8,2088,3768.02,0.86,0.79,1,3.4
TRK-649525,Yokohama (JP),Port of Oakland (US),DHL Express,23,305,4112.6,0.95,0.42,1,6.4
TRK-481574,Hamburg Port (DE),Port of New York (US),OceanNet Logistics,26,312,3981.13,0.39,0.42,0,0.0
TRK-528625,Singapore (SG),Port of New York (US),Global Freight Air,14,2179,4319.73,0.58,0.91,1,3.9
TRK-154909,Singapore (SG),Port of Vancouver (CA),FedEx Supply Chain,29,1683,7689.83,0.73,0.14,1,7.1
TRK-169113,Hamburg Port (DE),Port of Los Angeles (US),Global Freight Air,29,1204,8687.71,0.68,0.69,1,8.4
TRK-811332,Shenzhen Port (CN),Port of New York (US),FedEx Supply Chain,5,1106,2189.5,0.83,0.3,1,4.2
TRK-858889,Singapore (SG),Port of Vancouver (CA),Global Freight Air,33,2220,7015.35,0.93,0.82,1,11.7
TRK-257677,Hamburg Port (DE),Port of Los Angeles (US),Global Freight Air,16,2003,5914.84,0.5,0.39,0,0.0
TRK-795847,Ningbo-Zhoushan (CN),Port of New York (US),FedEx Supply Chain,19,1667,6065.98,0.06,0.75,0,0.0
TRK-787923,Rotterdam (NL),Port of Vancouver (CA),OceanNet Logistics,7,177,2089.27,0.44,0.26,0,0.0
TRK-235215,Yokohama (JP),Port of Vancouver (CA),Maersk Line,31,1001,9286.37,0.1,0.5,0,0.0
TRK-424620,Yokohama (JP),Port of Seattle (US),FedEx Supply Chain,31,489,8666.4,0.69,0.91,1,9.0
TRK-952686,Ningbo-Zhoushan (CN),Port of Vancouver (CA),Global Freight Air,15,1581,5035.18,0.61,0.33,0,0.0
TRK-197992,Rotterdam (NL),Port of Vancouver (CA),OceanNet Logistics,26,982,4128.27,0.33,0.89,1,8.2
TRK-633188,Hamburg Port (DE),Port of Los Angeles (US),FedEx Supply Chain,27,694,4896.78,0.2,0.22,0,0.0
TRK-423869,Ningbo-Zhoushan (CN),Port of Long Beach (US),FedEx Supply Chain,16,2478,4043.98,0.89,0.44,1,6.7
TRK-903373,Shenzhen Port (CN),Port of Long Beach (US),DHL Express,9,2265,2690.45,0.13,0.35,0,0.0
TRK-244247,Ningbo-Zhoushan (CN),Port of Los Angeles (US),FedEx Supply Chain,26,2344,4721.05,0.39,0.93,1,8.3
TRK-985447,Singapore (SG),Port of Los Angeles (US),Global Freight Air,11,314,2194.13,0.73,0.14,0,0.0
TRK-908320,Yokohama (JP),Port of Vancouver (CA),Global Freight Air,33,1915,7222.5,0.93,0.11,1,8.7
TRK-139581,Rotterdam (NL),Port of New York (US),Global Freight Air,21,2469,5794.72,0.41,0.71,1,6.5
TRK-237414,Yokohama (JP),Port of Seattle (US),DHL Express,13,2068,3584.82,0.29,0.23,0,0.0
TRK-270128,Ningbo-Zhoushan (CN),Port of Vancouver (CA),Global Freight Air,29,1926,5786.66,0.64,0.92,1,9.4
TRK-948343,Ningbo-Zhoushan (CN),Port of Vancouver (CA),OceanNet Logistics,11,318,3096.84,0.32,0.13,0,0.0
TRK-145814,Shenzhen Port (CN),Port of New York (US),DHL Express,16,502,4003.09,0.29,0.06,0,0.0
TRK-565776,Yokohama (JP),Port of New York (US),OceanNet Logistics,7,1257,2211.0,0.69,0.6,1,3.1
TRK-345369,Yokohama (JP),Port of Long Beach (US),FedEx Supply Chain,8,1182,3035.22,0.9,0.15,1,2.7
TRK-947903,Singapore (SG),Port of Seattle (US),DHL Express,19,761,3169.46,0.75,0.61,1,5.8
TRK-485709,Rotterdam (NL),Port of Oakland (US),OceanNet Logistics,17,383,3412.93,0.89,0.54,1,7.3
TRK-584106,Singapore (SG),Port of New York (US),OceanNet Logistics,14,2193,4127.36,0.93,0.14,1,3.3
TRK-627335,Yokohama (JP),Port of Seattle (US),DHL Express,26,789,6499.96,0.87,0.44,1,7.0
TRK-956572,Ningbo-Zhoushan (CN),Port of Oakland (US),DHL Express,33,172,9334.9,0.26,0.54,0,0.0
TRK-362147,Shanghai Port (CN),Port of Vancouver (CA),OceanNet Logistics,13,2317,4106.34,0.64,0.79,1,3.6
TRK-489244,Yokohama (JP),Port of Los Angeles (US),Global Freight Air,24,1170,4572.22,0.06,0.12,0,0.0
TRK-992512,Shanghai Port (CN),Port of New York (US),Maersk Line,6,2443,2562.11,0.24,0.59,0,0.0
TRK-900185,Ningbo-Zhoushan (CN),Port of New York (US),OceanNet Logistics,20,437,3729.48,0.85,0.39,1,6.2
TRK-638289,Ningbo-Zhoushan (CN),Port of Seattle (US),Maersk Line,17,2093,4273.62,0.94,0.31,1,6.5
TRK-332823,Singapore (SG),Port of Seattle (US),FedEx Supply Chain,21,489,4134.68,0.83,0.87,1,8.5
TRK-127965,Shenzhen Port (CN),Port of Los Angeles (US),OceanNet Logistics,22,667,4753.58,0.84,0.62,1,8.2
TRK-626392,Hamburg Port (DE),Port of Long Beach (US),OceanNet Logistics,12,1742,3547.84,0.79,0.31,1,4.2
TRK-185569,Hamburg Port (DE),Port of Long Beach (US),Maersk Line,29,1328,6524.01,0.1,0.49,0,0.0
TRK-434165,Shanghai Port (CN),Port of Vancouver (CA),FedEx Supply Chain,8,922,1829.69,0.42,0.88,1,2.6
TRK-929822,Ningbo-Zhoushan (CN),Port of Long Beach (US),Maersk Line,33,744,9678.48,0.72,0.7,1,10.7
TRK-400814,Singapore (SG),Port of Seattle (US),DHL Express,23,902,3705.34,0.88,0.45,1,7.3
TRK-895702,Rotterdam (NL),Port of Seattle (US),OceanNet Logistics,29,376,4194.82,0.84,0.8,1,8.6
TRK-745239,Shanghai Port (CN),Port of Los Angeles (US),Maersk Line,27,1671,6274.97,0.29,0.26,0,0.0
TRK-368355,Ningbo-Zhoushan (CN),Port of Long Beach (US),Global Freight Air,21,1336,4261.67,0.8,0.36,1,6.3
TRK-862560,Yokohama (JP),Port of Oakland (US),OceanNet Logistics,9,186,2511.18,0.72,0.45,1,4.3
TRK-216587,Singapore (SG),Port of New York (US),DHL Express,33,1800,8924.76,0.4,0.49,1,7.4
TRK-415779,Shanghai Port (CN),Port of Los Angeles (US),DHL Express,27,696,7053.2,0.51,0.2,0,0.0
TRK-540218,Rotterdam (NL),Port of Oakland (US),OceanNet Logistics,5,820,1713.59,0.84,0.16,0,0.0
TRK-165858,Shanghai Port (CN),Port of Seattle (US),Global Freight Air,19,214,3957.15,0.6,0.27,0,0.0
TRK-662093,Shanghai Port (CN),Port of Vancouver (CA),Global Freight Air,27,246,6617.31,0.56,0.94,1,8.0
TRK-702980,Ningbo-Zhoushan (CN),Port of Vancouver (CA),DHL Express,5,118,1035.11,0.73,0.23,0,0.0
TRK-405420,Shenzhen Port (CN),Port of Los Angeles (US),Global Freight Air,6,1622,2520.28,0.07,0.9,0,0.0
TRK-469954,Ningbo-Zhoushan (CN),Port of Oakland (US),OceanNet Logistics,20,1556,6507.76,0.45,0.93,1,6.3
TRK-296412,Rotterdam (NL),Port of Vancouver (CA),Maersk Line,17,1448,5300.66,0.75,0.91,1,7.1
TRK-648913,Hamburg Port (DE),Port of Los Angeles (US),Global Freight Air,34,628,8410.93,0.42,0.85,1,8.4
TRK-670511,Yokohama (JP),Port of Oakland (US),Global Freight Air,30,1503,8744.81,0.68,0.73,1,8.8
TRK-121322,Shenzhen Port (CN),Port of Seattle (US),Maersk Line,26,2483,4750.55,0.31,0.53,0,0.0
TRK-766549,Shenzhen Port (CN),Port of New York (US),FedEx Supply Chain,33,438,6547.07,0.49,0.06,0,0.0
TRK-883618,Shanghai Port (CN),Port of New York (US),Maersk Line,18,641,2759.38,0.3,0.24,0,0.0
TRK-461551,Ningbo-Zhoushan (CN),Port of Vancouver (CA),Maersk Line,12,2332,5297.24,0.54,0.93,1,4.6
TRK-908977,Yokohama (JP),Port of Vancouver (CA),FedEx Supply Chain,17,2482,5770.19,0.09,0.45,0,0.0
TRK-239890,Shanghai Port (CN),Port of New York (US),Global Freight Air,7,1817,3234.44,0.69,0.39,1,3.1
TRK-454992,Singapore (SG),Port of Vancouver (CA),DHL Express,15,2243,2900.97,0.65,0.49,1,3.4
TRK-970720,Singapore (SG),Port of Vancouver (CA),OceanNet Logistics,32,1605,8227.5,0.11,0.74,0,0.0
TRK-829168,Shenzhen Port (CN),Port of Vancouver (CA),DHL Express,30,2461,9651.82,0.77,0.52,1,7.5
TRK-950916,Ningbo-Zhoushan (CN),Port of Los Angeles (US),OceanNet Logistics,9,1334,3268.67,0.2,0.23,0,0.0
TRK-138780,Hamburg Port (DE),Port of Long Beach (US),Maersk Line,32,2025,10439.15,0.73,0.59,1,9.6
TRK-929538,Ningbo-Zhoushan (CN),Port of Los Angeles (US),FedEx Supply Chain,8,589,2240.58,0.19,0.48,0,0.0
TRK-425138,Yokohama (JP),Port of Seattle (US),Global Freight Air,17,2414,3814.98,0.33,0.27,0,0.0
TRK-596395,Hamburg Port (DE),Port of Los Angeles (US),DHL Express,31,1729,9171.78,0.72,0.55,1,9.0
TRK-400009,Hamburg Port (DE),Port of Los Angeles (US),FedEx Supply Chain,22,470,5445.93,0.77,0.29,1,6.8
TRK-386488,Shanghai Port (CN),Port of New York (US),OceanNet Logistics,19,294,4550.36,0.34,0.29,0,0.0
TRK-519453,Rotterdam (NL),Port of Seattle (US),OceanNet Logistics,32,1022,6028.41,0.65,0.78,1,10.3
TRK-455505,Ningbo-Zhoushan (CN),Port of Seattle (US),OceanNet Logistics,27,937,7516.76,0.72,0.19,1,5.9
TRK-485191,Singapore (SG),Port of Oakland (US),FedEx Supply Chain,9,1193,3128.25,0.79,0.62,1,5.2
TRK-940064,Shanghai Port (CN),Port of Vancouver (CA),OceanNet Logistics,20,1340,6720.03,0.34,0.86,1,7.3
TRK-182760,Shenzhen Port (CN),Port of Oakland (US),DHL Express,10,2037,3742.62,0.57,0.11,0,0.0
TRK-671971,Hamburg Port (DE),Port of New York (US),Maersk Line,20,2174,6051.76,0.72,0.78,1,7.8
TRK-183958,Hamburg Port (DE),Port of Vancouver (CA),FedEx Supply Chain,17,1798,4292.06,0.34,0.92,1,6.5
TRK-421384,Shenzhen Port (CN),Port of Oakland (US),OceanNet Logistics,25,598,3434.95,0.12,0.33,0,0.0
TRK-274739,Rotterdam (NL),Port of Seattle (US),FedEx Supply Chain,26,265,7003.64,0.69,0.33,1,5.7
TRK-568849,Shanghai Port (CN),Port of Vancouver (CA),FedEx Supply Chain,15,614,4392.48,0.58,0.57,1,6.4
TRK-744718,Shenzhen Port (CN),Port of New York (US),Maersk Line,23,2221,5737.47,0.56,0.83,1,6.7
TRK-178686,Rotterdam (NL),Port of Vancouver (CA),OceanNet Logistics,6,1438,2145.93,0.49,0.82,1,3.4
TRK-480959,Yokohama (JP),Port of Vancouver (CA),DHL Express,10,2044,4208.4,0.8,0.38,1,5.2
TRK-132653,Ningbo-Zhoushan (CN),Port of Oakland (US),OceanNet Logistics,28,1198,6091.58,0.67,0.68,1,8.7
TRK-136489,Ningbo-Zhoushan (CN),Port of Los Angeles (US),DHL Express,14,1017,3509.68,0.59,0.21,0,0.0
TRK-916332,Rotterdam (NL),Port of New York (US),FedEx Supply Chain,16,505,3974.09,0.8,0.2,1,3.5
TRK-501451,Yokohama (JP),Port of Los Angeles (US),Global Freight Air,20,474,4047.15,0.46,0.67,1,7.0
TRK-260891,Rotterdam (NL),Port of Seattle (US),FedEx Supply Chain,32,189,4746.31,0.57,0.3,1,8.8
TRK-490084,Shenzhen Port (CN),Port of Los Angeles (US),Global Freight Air,30,1710,6694.21,0.1,0.08,0,0.0
TRK-244383,Yokohama (JP),Port of New York (US),OceanNet Logistics,12,1025,3771.21,0.27,0.67,0,0.0
TRK-429657,Rotterdam (NL),Port of New York (US),DHL Express,15,1075,5076.71,0.23,0.71,0,0.0
TRK-218959,Shanghai Port (CN),Port of Vancouver (CA),DHL Express,28,1634,4861.36,0.24,0.67,1,6.9
TRK-623285,Yokohama (JP),Port of Seattle (US),Global Freight Air,29,1330,5172.68,0.35,0.11,0,0.0
TRK-223481,Hamburg Port (DE),Port of New York (US),OceanNet Logistics,27,1044,8017.8,0.33,0.55,0,0.0
TRK-324993,Yokohama (JP),Port of New York (US),OceanNet Logistics,6,2069,2216.74,0.48,0.1,0,0.0
TRK-309902,Shanghai Port (CN),Port of Long Beach (US),Maersk Line,28,1005,5646.97,0.53,0.94,1,7.4
TRK-574001,Ningbo-Zhoushan (CN),Port of Vancouver (CA),OceanNet Logistics,12,1419,2105.18,0.24,0.62,0,0.0
TRK-192055,Singapore (SG),Port of Vancouver (CA),FedEx Supply Chain,33,961,8583.53,0.38,0.37,0,0.0
TRK-800280,Hamburg Port (DE),Port of Vancouver (CA),Maersk Line,17,135,4301.29,0.18,0.36,0,0.0
TRK-676713,Yokohama (JP),Port of New York (US),FedEx Supply Chain,28,130,5953.92,0.77,0.17,1,7.3
TRK-992717,Ningbo-Zhoushan (CN),Port of Vancouver (CA),DHL Express,12,2385,2748.49,0.21,0.84,0,0.0
TRK-932250,Hamburg Port (DE),Port of Oakland (US),DHL Express,5,1090,1854.4,0.3,0.38,0,0.0
TRK-227257,Ningbo-Zhoushan (CN),Port of Long Beach (US),DHL Express,26,1212,6859.84,0.75,0.83,1,7.9
TRK-928766,Shenzhen Port (CN),Port of Los Angeles (US),FedEx Supply Chain,27,778,7155.78,0.9,0.06,1,7.1
TRK-680933,Yokohama (JP),Port of New York (US),OceanNet Logistics,17,1843,5171.46,0.67,0.64,1,4.5
TRK-942700,Yokohama (JP),Port of Long Beach (US),Global Freight Air,20,1562,5158.71,0.51,0.86,1,7.5
TRK-190403,Shanghai Port (CN),Port of New York (US),OceanNet Logistics,21,1352,5987.0,0.51,0.83,1,6.1
TRK-851759,Rotterdam (NL),Port of Seattle (US),Global Freight Air,32,1674,9538.18,0.3,0.17,0,0.0
TRK-530749,Singapore (SG),Port of Seattle (US),Global Freight Air,28,319,7316.93,0.49,0.42,1,8.0
TRK-177333,Ningbo-Zhoushan (CN),Port of New York (US),Maersk Line,33,2394,6612.76,0.39,0.77,1,8.1
TRK-571832,Shenzhen Port (CN),Port of Vancouver (CA),Global Freight Air,31,1300,7789.07,0.35,0.94,1,7.0
TRK-461249,Ningbo-Zhoushan (CN),Port of Oakland (US),Global Freight Air,34,824,6328.42,0.29,0.05,0,0.0
TRK-290802,Singapore (SG),Port of Long Beach (US),OceanNet Logistics,14,375,2427.69,0.29,0.55,0,0.0
TRK-627290,Singapore (SG),Port of Los Angeles (US),Maersk Line,17,1451,3780.9,0.31,0.24,0,0.0
TRK-643269,Ningbo-Zhoushan (CN),Port of New York (US),DHL Express,30,1234,7220.19,0.47,0.73,1,7.0
TRK-269834,Hamburg Port (DE),Port of Vancouver (CA),DHL Express,6,821,2001.22,0.89,0.39,1,4.1
TRK-462831,Yokohama (JP),Port of New York (US),Maersk Line,22,1294,3720.61,0.36,0.51,0,0.0
TRK-362778,Ningbo-Zhoushan (CN),Port of Vancouver (CA),Global Freight Air,24,242,5107.69,0.5,0.1,0,0.0
TRK-387782,Ningbo-Zhoushan (CN),Port of Vancouver (CA),FedEx Supply Chain,24,516,6992.12,0.95,0.77,1,9.1
TRK-744274,Yokohama (JP),Port of Los Angeles (US),Global Freight Air,20,1388,4680.24,0.75,0.87,1,6.0
TRK-772124,Ningbo-Zhoushan (CN),Port of Oakland (US),Global Freight Air,31,1391,8544.74,0.4,0.73,1,6.9
TRK-261684,Ningbo-Zhoushan (CN),Port of Vancouver (CA),Global Freight Air,21,1604,5558.08,0.56,0.89,1,6.4
TRK-855638,Yokohama (JP),Port of New York (US),Global Freight Air,22,713,5741.77,0.52,0.75,1,5.7
TRK-143195,Singapore (SG),Port of Los Angeles (US),Maersk Line,15,916,3023.15,0.09,0.62,0,0.0
TRK-147670,Rotterdam (NL),Port of Oakland (US),FedEx Supply Chain,31,372,4997.76,0.32,0.61,1,7.6
TRK-782759,Ningbo-Zhoushan (CN),Port of Oakland (US),OceanNet Logistics,24,2324,7782.06,0.06,0.69,0,0.0
TRK-748133,Rotterdam (NL),Port of Los Angeles (US),OceanNet Logistics,13,1351,4756.37,0.33,0.36,0,0.0
TRK-757629,Yokohama (JP),Port of New York (US),FedEx Supply Chain,12,1819,3161.14,0.36,0.8,1,5.6
TRK-606404,Ningbo-Zhoushan (CN),Port of Vancouver (CA),OceanNet Logistics,12,571,3567.79,0.11,0.13,0,0.0
TRK-411882,Shenzhen Port (CN),Port of Los Angeles (US),Maersk Line,20,283,3112.28,0.92,0.45,1,6.5
TRK-265759,Shenzhen Port (CN),Port of Seattle (US),OceanNet Logistics,30,1196,8371.05,0.57,0.86,1,9.8
TRK-587002,Ningbo-Zhoushan (CN),Port of New York (US),Global Freight Air,30,370,8006.85,0.27,0.7,1,8.2
TRK-250647,Hamburg Port (DE),Port of Vancouver (CA),FedEx Supply Chain,22,239,4011.03,0.67,0.29,1,5.0
TRK-869864,Singapore (SG),Port of New York (US),OceanNet Logistics,34,248,8763.66,0.16,0.71,1,7.6
TRK-237118,Singapore (SG),Port of New York (US),Global Freight Air,10,1888,3035.83,0.59,0.44,0,0.0
TRK-688933,Shanghai Port (CN),Port of New York (US),DHL Express,25,1083,5577.48,0.86,0.36,1,8.0
TRK-589131,Shanghai Port (CN),Port of New York (US),OceanNet Logistics,8,190,2226.5,0.56,0.64,1,4.9
TRK-359961,Ningbo-Zhoushan (CN),Port of Los Angeles (US),Maersk Line,22,2285,3958.69,0.79,0.77,1,6.2
TRK-404309,Shenzhen Port (CN),Port of Oakland (US),OceanNet Logistics,17,1816,3617.35,0.93,0.24,1,4.2
TRK-360330,Singapore (SG),Port of Long Beach (US),FedEx Supply Chain,20,1637,4062.12,0.64,0.53,1,4.8
TRK-705748,Rotterdam (NL),Port of New York (US),DHL Express,30,990,7245.17,0.27,0.43,0,0.0
TRK-900190,Ningbo-Zhoushan (CN),Port of Seattle (US),Global Freight Air,34,714,7262.18,0.36,0.1,0,0.0
TRK-589491,Shenzhen Port (CN),Port of New York (US),OceanNet Logistics,24,1711,4996.93,0.94,0.57,1,6.8
TRK-124302,Shanghai Port (CN),Port of Seattle (US),Global Freight Air,14,1549,5117.51,0.48,0.37,0,0.0
TRK-579441,Ningbo-Zhoushan (CN),Port of Long Beach (US),Global Freight Air,12,1908,2913.25,0.13,0.47,0,0.0
TRK-470037,Shanghai Port (CN),Port of Los Angeles (US),FedEx Supply Chain,18,528,3350.97,0.39,0.78,1,6.4
TRK-618934,Yokohama (JP),Port of Vancouver (CA),OceanNet Logistics,31,368,5476.81,0.89,0.16,1,9.5
TRK-399628,Yokohama (JP),Port of Los Angeles (US),Maersk Line,21,506,3011.76,0.48,0.42,0,0.0
TRK-551860,Ningbo-Zhoushan (CN),Port of New York (US),FedEx Supply Chain,10,1571,3048.31,0.89,0.81,1,3.9
TRK-900961,Shenzhen Port (CN),Port of New York (US),Maersk Line,16,118,2148.96,0.67,0.63,1,4.6
TRK-520040,Shanghai Port (CN),Port of Oakland (US),Global Freight Air,7,2269,4116.64,0.6,0.39,0,0.0
TRK-304110,Hamburg Port (DE),Port of Oakland (US),FedEx Supply Chain,15,1173,3062.99,0.42,0.66,1,5.2
TRK-177103,Shenzhen Port (CN),Port of Oakland (US),OceanNet Logistics,20,562,3333.22,0.19,0.79,0,0.0
TRK-901535,Yokohama (JP),Port of New York (US),Global Freight Air,34,1511,5974.49,0.84,0.55,1,9.2
TRK-813449,Yokohama (JP),Port of Los Angeles (US),DHL Express,28,270,4897.26,0.8,0.1,1,6.9
TRK-201377,Shenzhen Port (CN),Port of New York (US),FedEx Supply Chain,11,1101,2429.22,0.13,0.33,0,0.0
TRK-684929,Hamburg Port (DE),Port of Long Beach (US),DHL Express,22,1320,5351.09,0.45,0.85,1,7.0
TRK-731728,Yokohama (JP),Port of Seattle (US),Global Freight Air,34,2075,8610.08,0.39,0.87,1,8.4
TRK-142210,Shanghai Port (CN),Port of Los Angeles (US),DHL Express,22,1547,4797.18,0.86,0.24,1,7.5
TRK-848255,Hamburg Port (DE),Port of Seattle (US),Global Freight Air,7,910,2994.92,0.41,0.71,0,0.0
TRK-579187,Ningbo-Zhoushan (CN),Port of Oakland (US),Global Freight Air,9,825,2563.69,0.17,0.39,0,0.0
TRK-246570,Hamburg Port (DE),Port of Oakland (US),FedEx Supply Chain,27,878,7208.94,0.95,0.22,1,7.6
TRK-270395,Shenzhen Port (CN),Port of Oakland (US),FedEx Supply Chain,22,2260,4556.04,0.11,0.85,0,0.0
TRK-722565,Hamburg Port (DE),Port of Oakland (US),Global Freight Air,9,1379,3743.85,0.17,0.56,0,0.0
TRK-658198,Shenzhen Port (CN),Port of Vancouver (CA),Global Freight Air,19,1709,4420.89,0.4,0.14,0,0.0
TRK-414353,Shenzhen Port (CN),Port of Los Angeles (US),FedEx Supply Chain,13,1148,3821.77,0.2,0.26,0,0.0
TRK-447329,Rotterdam (NL),Port of Los Angeles (US),OceanNet Logistics,15,1720,5933.56,0.17,0.26,0,0.0
TRK-712056,Hamburg Port (DE),Port of Vancouver (CA),Maersk Line,6,2268,2239.73,0.09,0.57,0,0.0
TRK-725905,Shenzhen Port (CN),Port of New York (US),Global Freight Air,22,582,4854.39,0.06,0.76,0,0.0
TRK-705693,Ningbo-Zhoushan (CN),Port of Vancouver (CA),Maersk Line,19,338,4166.02,0.41,0.93,1,6.1
TRK-711868,Shenzhen Port (CN),Port of Long Beach (US),Global Freight Air,31,2430,9361.48,0.17,0.51,0,0.0
TRK-759580,Rotterdam (NL),Port of Oakland (US),OceanNet Logistics,12,991,3687.06,0.78,0.25,1,3.5
TRK-254954,Singapore (SG),Port of Vancouver (CA),DHL Express,25,619,4083.31,0.46,0.35,0,0.0
TRK-133104,Yokohama (JP),Port of Vancouver (CA),Maersk Line,16,1025,3298.57,0.65,0.83,1,6.5
TRK-300051,Shanghai Port (CN),Port of Seattle (US),FedEx Supply Chain,33,294,7832.08,0.55,0.24,1,6.5
TRK-539122,Ningbo-Zhoushan (CN),Port of Seattle (US),DHL Express,9,2174,4292.86,0.71,0.36,1,3.5
TRK-530311,Yokohama (JP),Port of Oakland (US),OceanNet Logistics,20,1049,3950.92,0.68,0.22,1,5.8
TRK-989587,Rotterdam (NL),Port of Vancouver (CA),Maersk Line,33,1991,10862.98,0.32,0.26,0,0.0
TRK-840058,Ningbo-Zhoushan (CN),Port of Oakland (US),DHL Express,23,1673,6034.91,0.79,0.66,1,8.3
TRK-688132,Hamburg Port (DE),Port of Vancouver (CA),OceanNet Logistics,22,1015,5410.41,0.12,0.08,0,0.0
TRK-651002,Shenzhen Port (CN),Port of New York (US),DHL Express,16,1925,3594.14,0.5,0.16,0,0.0
TRK-581992,Yokohama (JP),Port of New York (US),Global Freight Air,14,1282,4097.9,0.83,0.31,1,4.7
TRK-471496,Rotterdam (NL),Port of Vancouver (CA),FedEx Supply Chain,6,286,1313.61,0.35,0.56,0,0.0
TRK-739711,Shenzhen Port (CN),Port of Long Beach (US),DHL Express,20,115,5440.95,0.67,0.79,1,6.7
TRK-392559,Yokohama (JP),Port of New York (US),DHL Express,8,1533,2430.38,0.47,0.49,0,0.0
TRK-412071,Singapore (SG),Port of New York (US),DHL Express,5,658,1508.26,0.28,0.83,0,0.0
TRK-823769,Rotterdam (NL),Port of Seattle (US),FedEx Supply Chain,16,917,4904.3,0.34,0.66,0,0.0
TRK-603110,Hamburg Port (DE),Port of Oakland (US),FedEx Supply Chain,21,2329,6730.06,0.57,0.44,1,5.1
TRK-401769,Shanghai Port (CN),Port of Oakland (US),Global Freight Air,29,1219,7259.31,0.26,0.61,0,0.0
TRK-498138,Shenzhen Port (CN),Port of New York (US),DHL Express,13,1497,2369.98,0.17,0.6,0,0.0
TRK-404561,Shanghai Port (CN),Port of New York (US),Maersk Line,24,1406,5522.77,0.48,0.89,1,6.7
TRK-463188,Shenzhen Port (CN),Port of Vancouver (CA),FedEx Supply Chain,16,1981,2649.89,0.28,0.08,0,0.0
TRK-883641,Shenzhen Port (CN),Port of Long Beach (US),DHL Express,32,677,7089.99,0.21,0.32,0,0.0
TRK-968170,Yokohama (JP),Port of New York (US),Global Freight Air,29,1201,7973.96,0.58,0.2,0,0.0
