tracking_number,origin,destination,carrier,transit_days,quantity,total_cost,weather_risk_score,traffic_risk_score,supplier_reliability,delayed,actual_delay_days
TRK-738577,Rotterdam (NL),Port of Vancouver (CA),FedEx Supply Chain,23,1001,7088.57,0.1,0.5,0.91,0,0.0
TRK-130359,Ningbo-Zhoushan (CN),Port of New York (US),FedEx Supply Chain,10,1099,2941.91,0.55,0.41,0.74,0,0.0
TRK-456331,Hamburg Port (DE),Port of Los Angeles (US),DHL Express,14,551,2853.99,0.78,0.5,0.72,1,4.9
TRK-250210,Yokohama (JP),Port of Vancouver (CA),OceanNet Logistics,27,550,8063.81,0.62,0.27,0.75,1,6.1
TRK-172965,Ningbo-Zhoushan (CN),Port of Vancouver (CA),Maersk Line,16,2478,4043.98,0.89,0.44,0.95,1,6.3
TRK-196214,Rotterdam (NL),Port of Oakland (US),DHL Express,28,1441,5329.04,0.66,0.11,0.76,0,0.0
TRK-494468,Shenzhen Port (CN),Port of Seattle (US),FedEx Supply Chain,11,551,3353.16,0.71,0.15,0.93,0,0.0
TRK-265055,Hamburg Port (DE),Port of New York (US),FedEx Supply Chain,26,859,5495.99,0.9,0.87,0.7,1,9.8
TRK-914571,Yokohama (JP),Port of Oakland (US),Maersk Line,14,2164,3660.03,0.93,0.55,0.76,1,6.2
TRK-155164,Ningbo-Zhoushan (CN),Port of Long Beach (US),Global Freight Air,21,1812,4545.42,0.23,0.48,0.78,0,0.0
TRK-152179,Rotterdam (NL),Port of Los Angeles (US),FedEx Supply Chain,32,2313,9637.09,0.12,0.12,0.98,0,0.0
TRK-564637,Rotterdam (NL),Port of Seattle (US),OceanNet Logistics,31,1049,6947.44,0.13,0.55,0.89,0,0.0
TRK-736565,Shenzhen Port (CN),Port of Seattle (US),FedEx Supply Chain,26,1257,6546.12,0.69,0.6,0.79,1,7.4
TRK-326040,Singapore (SG),Port of Oakland (US),Maersk Line,32,2405,11267.34,0.15,0.19,0.97,0,0.0
TRK-461939,Shenzhen Port (CN),Port of Los Angeles (US),FedEx Supply Chain,26,659,6501.71,0.61,0.39,0.71,1,7.8
TRK-811163,Rotterdam (NL),Port of Oakland (US),OceanNet Logistics,17,1191,4871.3,0.9,0.25,0.91,1,6.3
TRK-652530,Rotterdam (NL),Port of New York (US),Maersk Line,10,275,2239.34,0.72,0.34,0.96,0,0.0
TRK-331230,Shenzhen Port (CN),Port of Oakland (US),Maersk Line,25,1532,5049.52,0.44,0.7,0.7,1,7.8
TRK-108060,Ningbo-Zhoushan (CN),Port of New York (US),DHL Express,21,142,3454.72,0.69,0.13,0.76,0,0.0
TRK-904624,Ningbo-Zhoushan (CN),Port of New York (US),FedEx Supply Chain,27,1234,4473.89,0.27,0.24,0.78,0,0.0
TRK-444061,Shanghai Port (CN),Port of Los Angeles (US),OceanNet Logistics,20,901,4147.38,0.71,0.6,0.9,1,5.3
TRK-883301,Shenzhen Port (CN),Port of Long Beach (US),DHL Express,20,1626,6678.01,0.79,0.89,0.86,1,6.7
TRK-498676,Yokohama (JP),Port of Vancouver (CA),DHL Express,14,969,4259.04,0.52,0.11,0.81,0,0.0
TRK-624563,Yokohama (JP),Port of Vancouver (CA),FedEx Supply Chain,13,489,2747.66,0.83,0.87,0.95,1,4.3
TRK-175576,Shenzhen Port (CN),Port of Vancouver (CA),Maersk Line,31,544,7471.79,0.8,0.5,0.86,1,8.3
TRK-557409,Shanghai Port (CN),Port of Seattle (US),Maersk Line,19,2239,5252.06,0.76,0.59,0.76,1,7.1
TRK-428267,Yokohama (JP),Port of Seattle (US),Global Freight Air,11,974,3649.63,0.14,0.74,0.82,0,0.0
TRK-524068,Rotterdam (NL),Port of Vancouver (CA),OceanNet Logistics,22,220,3310.8,0.19,0.11,0.75,0,0.0
TRK-403578,Shanghai Port (CN),Port of Seattle (US),Maersk Line,25,341,6627.38,0.67,0.15,0.78,0,0.0
TRK-440544,Ningbo-Zhoushan (CN),Port of Oakland (US),OceanNet Logistics,8,2287,2734.03,0.53,0.37,0.8,0,0.0
TRK-972442,Rotterdam (NL),Port of New York (US),Maersk Line,24,2300,6094.11,0.78,0.76,0.88,1,8.0
TRK-557925,Singapore (SG),Port of Los Angeles (US),DHL Express,30,2244,9177.29,0.12,0.8,0.8,1,7.7
TRK-556839,Yokohama (JP),Port of Seattle (US),Global Freight Air,9,186,2511.18,0.72,0.45,0.88,1,3.1
TRK-182467,Shenzhen Port (CN),Port of New York (US),FedEx Supply Chain,9,594,2123.29,0.72,0.83,0.85,1,5.7
TRK-332335,Hamburg Port (DE),Port of Long Beach (US),Maersk Line,34,761,6539.68,0.42,0.71,0.96,1,7.9
TRK-635280,Rotterdam (NL),Port of Los Angeles (US),Global Freight Air,19,214,3957.15,0.6,0.27,0.72,0,0.0
TRK-634723,Ningbo-Zhoushan (CN),Port of New York (US),FedEx Supply Chain,26,246,6377.41,0.56,0.94,0.82,1,9.7
TRK-862712,Singapore (SG),Port of Vancouver (CA),DHL Express,5,118,1035.11,0.73,0.23,0.79,0,0.0
TRK-347745,Shanghai Port (CN),Port of Long Beach (US),FedEx Supply Chain,17,2020,5205.1,0.15,0.6,0.73,0,0.0
TRK-306854,Ningbo-Zhoushan (CN),Port of Oakland (US),DHL Express,33,394,7766.11,0.24,0.4,0.96,0,0.0
TRK-897143,Singapore (SG),Port of Vancouver (CA),Maersk Line,11,1437,3110.4,0.07,0.76,0.72,0,0.0
TRK-285751,Singapore (SG),Port of Vancouver (CA),OceanNet Logistics,33,2126,7219.61,0.06,0.7,0.86,0,0.0
TRK-586490,Singapore (SG),Port of Oakland (US),Global Freight Air,5,604,1415.35,0.16,0.31,0.85,0,0.0
TRK-570711,Rotterdam (NL),Port of Oakland (US),Global Freight Air,33,438,6547.07,0.49,0.06,0.82,0,0.0
TRK-438908,Singapore (SG),Port of Vancouver (CA),FedEx Supply Chain,29,1355,5142.01,0.24,0.09,0.84,0,0.0
TRK-258290,Shenzhen Port (CN),Port of Los Angeles (US),OceanNet Logistics,19,2332,7086.92,0.54,0.93,0.83,1,7.0
TRK-563688,Rotterdam (NL),Port of New York (US),FedEx Supply Chain,26,2482,8207.46,0.09,0.45,0.72,0,0.0
TRK-720148,Shanghai Port (CN),Port of New York (US),Global Freight Air,18,1955,5813.82,0.39,0.38,0.71,0,0.0
TRK-177794,Hamburg Port (DE),Port of Seattle (US),OceanNet Logistics,15,2243,2900.97,0.65,0.49,0.7,1,6.5
TRK-139434,Shanghai Port (CN),Port of New York (US),FedEx Supply Chain,33,818,7270.07,0.43,0.54,0.85,1,8.0
TRK-180458,Rotterdam (NL),Port of Los Angeles (US),Global Freight Air,30,1334,8282.64,0.2,0.23,0.96,0,0.0
TRK-722937,Yokohama (JP),Port of Seattle (US),OceanNet Logistics,33,1090,8304.68,0.85,0.57,0.88,1,9.3
TRK-708519,Yokohama (JP),Port of Vancouver (CA),Maersk Line,14,2414,3357.9,0.33,0.27,0.76,0,0.0
TRK-571579,Singapore (SG),Port of Oakland (US),DHL Express,34,749,5650.34,0.12,0.68,0.81,0,0.0
TRK-437145,Yokohama (JP),Port of Seattle (US),Global Freight Air,30,890,8202.08,0.29,0.67,0.78,1,9.4
TRK-258189,Shanghai Port (CN),Port of Seattle (US),Maersk Line,34,2208,6778.84,0.22,0.68,0.76,1,8.8
TRK-950360,Singapore (SG),Port of New York (US),Maersk Line,26,1709,8012.14,0.75,0.73,0.75,1,7.5
TRK-629057,Rotterdam (NL),Port of Long Beach (US),Maersk Line,9,2487,3194.6,0.08,0.28,0.71,0,0.0
TRK-359778,Rotterdam (NL),Port of Seattle (US),OceanNet Logistics,25,707,5569.58,0.09,0.65,0.79,0,0.0
TRK-649525,Yokohama (JP),Port of Oakland (US),DHL Express,28,465,5325.88,0.86,0.95,0.94,1,11.7
TRK-481574,Hamburg Port (DE),Port of New York (US),OceanNet Logistics,15,1305,5323.98,0.79,0.86,0.97,1,7.4
TRK-528625,Singapore (SG),Port of New York (US),Global Freight Air,33,1574,7120.36,0.09,0.42,0.74,0,0.0
TRK-154909,Singapore (SG),Port of Vancouver (CA),FedEx Supply Chain,24,598,3312.76,0.12,0.33,0.7,0,0.0
TRK-169113,Hamburg Port (DE),Port of Los Angeles (US),Global Freight Air,18,1019,5214.0,0.09,0.8,0.88,0,0.0
TRK-811332,Shenzhen Port (CN),Port of New York (US),FedEx Supply Chain,7,614,2326.0,0.58,0.57,0.99,0,0.0
TRK-858889,Singapore (SG),Port of Vancouver (CA),Global Freight Air,23,2221,5737.47,0.56,0.83,0.81,1,7.3
TRK-257677,Hamburg Port (DE),Port of Los Angeles (US),Global Freight Air,32,1438,7109.05,0.49,0.82,0.83,1,11.2
TRK-795847,Ningbo-Zhoushan (CN),Port of New York (US),FedEx Supply Chain,18,1838,6675.46,0.38,0.83,0.73,1,7.6
TRK-787923,Rotterdam (NL),Port of Vancouver (CA),OceanNet Logistics,16,1548,5748.52,0.11,0.55,0.92,0,0.0
TRK-235215,Yokohama (JP),Port of Vancouver (CA),Maersk Line,11,2340,3544.75,0.46,0.65,0.94,0,0.0
TRK-424620,Yokohama (JP),Port of Seattle (US),FedEx Supply Chain,18,533,4443.68,0.68,0.8,0.93,1,8.3
TRK-952686,Ningbo-Zhoushan (CN),Port of Vancouver (CA),Global Freight Air,7,189,1131.54,0.57,0.3,0.97,0,0.0
TRK-197992,Rotterdam (NL),Port of Vancouver (CA),OceanNet Logistics,30,1710,6694.21,0.1,0.08,0.82,0,0.0
TRK-633188,Hamburg Port (DE),Port of Los Angeles (US),FedEx Supply Chain,34,739,6037.23,0.67,0.59,0.85,1,11.8
TRK-423869,Ningbo-Zhoushan (CN),Port of Long Beach (US),FedEx Supply Chain,28,1043,7577.08,0.85,0.16,0.76,1,6.9
TRK-903373,Shenzhen Port (CN),Port of Long Beach (US),DHL Express,21,1874,6141.9,0.9,0.75,0.74,1,7.6
TRK-244247,Ningbo-Zhoushan (CN),Port of Los Angeles (US),FedEx Supply Chain,25,1754,6775.53,0.85,0.33,0.86,1,8.7
TRK-985447,Singapore (SG),Port of Los Angeles (US),Global Freight Air,11,1925,2767.01,0.9,0.12,0.83,1,4.6
TRK-908320,Yokohama (JP),Port of Vancouver (CA),Global Freight Air,9,2140,4215.69,0.3,0.77,0.79,0,0.0
TRK-139581,Rotterdam (NL),Port of New York (US),Global Freight Air,12,1216,2261.57,0.28,0.37,0.9,0,0.0
TRK-237414,Yokohama (JP),Port of Seattle (US),DHL Express,8,2248,3035.04,0.75,0.12,0.99,0,0.0
TRK-270128,Ningbo-Zhoushan (CN),Port of Vancouver (CA),Global Freight Air,28,130,5953.92,0.77,0.17,0.87,1,7.5
TRK-948343,Ningbo-Zhoushan (CN),Port of Vancouver (CA),OceanNet Logistics,18,2043,4669.92,0.49,0.12,0.83,0,0.0
TRK-145814,Shenzhen Port (CN),Port of New York (US),DHL Express,14,924,3170.29,0.38,0.22,0.8,0,0.0
TRK-565776,Yokohama (JP),Port of New York (US),OceanNet Logistics,22,1071,6733.31,0.33,0.53,0.94,0,0.0
TRK-345369,Yokohama (JP),Port of Long Beach (US),FedEx Supply Chain,21,139,3259.56,0.49,0.72,0.84,1,6.7
TRK-947903,Singapore (SG),Port of Seattle (US),DHL Express,23,1450,6226.65,0.16,0.68,0.82,0,0.0
TRK-485709,Rotterdam (NL),Port of Oakland (US),OceanNet Logistics,34,2032,10754.97,0.51,0.71,0.85,1,11.1
TRK-584106,Singapore (SG),Port of New York (US),OceanNet Logistics,26,2143,6329.13,0.65,0.18,0.87,0,0.0
TRK-627335,Yokohama (JP),Port of Seattle (US),DHL Express,32,152,5038.03,0.21,0.79,0.78,1,9.9
TRK-956572,Ningbo-Zhoushan (CN),Port of Oakland (US),DHL Express,12,2394,3612.28,0.39,0.77,0.81,1,3.4
TRK-362147,Shanghai Port (CN),Port of Vancouver (CA),OceanNet Logistics,21,926,6169.27,0.21,0.66,0.76,0,0.0
TRK-489244,Yokohama (JP),Port of Los Angeles (US),Global Freight Air,34,824,6328.42,0.29,0.05,0.95,0,0.0
TRK-992512,Shanghai Port (CN),Port of New York (US),Maersk Line,22,375,3684.73,0.29,0.55,0.76,0,0.0
TRK-900185,Ningbo-Zhoushan (CN),Port of New York (US),OceanNet Logistics,28,1451,5171.41,0.31,0.24,0.77,0,0.0
TRK-638289,Ningbo-Zhoushan (CN),Port of Seattle (US),Maersk Line,31,880,6644.15,0.73,0.19,0.84,1,7.8
TRK-332823,Singapore (SG),Port of Seattle (US),FedEx Supply Chain,21,970,4886.97,0.69,0.48,0.9,1,7.6
TRK-127965,Shenzhen Port (CN),Port of Los Angeles (US),OceanNet Logistics,20,1690,4586.19,0.65,0.47,0.92,1,5.0
TRK-626392,Hamburg Port (DE),Port of Long Beach (US),OceanNet Logistics,24,516,6992.12,0.95,0.77,0.92,1,8.0
TRK-185569,Hamburg Port (DE),Port of Long Beach (US),Maersk Line,19,2287,4765.29,0.6,0.3,0.75,0,0.0
TRK-434165,Shanghai Port (CN),Port of Vancouver (CA),FedEx Supply Chain,5,2254,3193.31,0.73,0.16,0.92,0,0.0
TRK-929822,Ningbo-Zhoushan (CN),Port of Long Beach (US),Maersk Line,30,832,8493.29,0.88,0.38,0.79,1,10.1
TRK-400814,Singapore (SG),Port of Seattle (US),DHL Express,23,921,4107.56,0.43,0.31,0.8,0,0.0
TRK-895702,Rotterdam (NL),Port of Seattle (US),OceanNet Logistics,6,1186,1674.87,0.59,0.64,0.76,1,3.1
TRK-745239,Shanghai Port (CN),Port of Los Angeles (US),Maersk Line,10,392,2810.03,0.3,0.3,0.98,0,0.0
TRK-368355,Ningbo-Zhoushan (CN),Port of Long Beach (US),Global Freight Air,24,1076,6262.05,0.94,0.33,0.8,1,6.3
TRK-862560,Yokohama (JP),Port of Oakland (US),OceanNet Logistics,31,895,5868.9,0.8,0.89,0.75,1,10.7
TRK-216587,Singapore (SG),Port of New York (US),DHL Express,8,1022,1513.55,0.59,0.19,0.98,0,0.0
TRK-415779,Shanghai Port (CN),Port of Los Angeles (US),DHL Express,29,1702,6489.58,0.65,0.73,0.92,1,9.4
TRK-540218,Rotterdam (NL),Port of Oakland (US),OceanNet Logistics,7,251,1945.55,0.1,0.06,0.76,0,0.0
TRK-165858,Shanghai Port (CN),Port of Seattle (US),Global Freight Air,25,1810,7682.79,0.86,0.87,0.79,1,10.1
TRK-662093,Shanghai Port (CN),Port of Vancouver (CA),Global Freight Air,5,1369,1337.85,0.36,0.44,0.94,0,0.0
TRK-702980,Ningbo-Zhoushan (CN),Port of Vancouver (CA),DHL Express,26,1592,6840.35,0.31,0.49,0.79,0,0.0
TRK-405420,Shenzhen Port (CN),Port of Los Angeles (US),Global Freight Air,24,1074,4222.47,0.15,0.54,0.96,0,0.0
TRK-469954,Ningbo-Zhoushan (CN),Port of Oakland (US),OceanNet Logistics,20,1426,4637.59,0.15,0.84,0.85,0,0.0
TRK-296412,Rotterdam (NL),Port of Vancouver (CA),Maersk Line,7,2285,2132.75,0.79,0.77,0.73,1,4.6
TRK-648913,Hamburg Port (DE),Port of Los Angeles (US),Global Freight Air,27,2203,6511.18,0.25,0.86,0.93,1,8.3
TRK-670511,Yokohama (JP),Port of Oakland (US),Global Freight Air,23,2177,5910.9,0.84,0.76,0.92,1,8.6
TRK-121322,Shenzhen Port (CN),Port of Seattle (US),Maersk Line,33,1561,9168.4,0.08,0.75,0.77,0,0.0
TRK-766549,Shenzhen Port (CN),Port of New York (US),FedEx Supply Chain,6,1370,1239.25,0.52,0.25,0.99,0,0.0
TRK-883618,Shanghai Port (CN),Port of New York (US),Maersk Line,5,860,1574.29,0.79,0.79,0.84,1,3.3
TRK-461551,Ningbo-Zhoushan (CN),Port of Vancouver (CA),Maersk Line,12,1908,2913.25,0.13,0.47,0.84,0,0.0
TRK-908977,Yokohama (JP),Port of Vancouver (CA),FedEx Supply Chain,10,262,1930.15,0.78,0.79,0.81,1,4.9
TRK-239890,Shanghai Port (CN),Port of New York (US),Global Freight Air,25,1115,4741.13,0.89,0.67,0.85,1,7.2
TRK-454992,Singapore (SG),Port of Vancouver (CA),DHL Express,9,1085,2003.69,0.64,0.92,0.86,1,5.5
TRK-970720,Singapore (SG),Port of Vancouver (CA),OceanNet Logistics,17,655,3942.96,0.89,0.65,0.72,1,6.3
TRK-829168,Shenzhen Port (CN),Port of Vancouver (CA),DHL Express,8,1798,3165.28,0.78,0.6,0.81,1,3.5
TRK-950916,Ningbo-Zhoushan (CN),Port of Los Angeles (US),OceanNet Logistics,5,899,1890.64,0.53,0.3,0.76,0,0.0
TRK-138780,Hamburg Port (DE),Port of Long Beach (US),Maersk Line,34,907,8942.39,0.09,0.43,0.75,0,0.0
TRK-929538,Ningbo-Zhoushan (CN),Port of Los Angeles (US),FedEx Supply Chain,17,1317,3695.55,0.5,0.71,0.98,1,4.8
TRK-425138,Yokohama (JP),Port of Seattle (US),Global Freight Air,12,975,3752.58,0.62,0.41,0.92,0,0.0
TRK-596395,Hamburg Port (DE),Port of Los Angeles (US),DHL Express,22,1320,5351.09,0.45,0.85,0.89,1,5.4
TRK-400009,Hamburg Port (DE),Port of Los Angeles (US),FedEx Supply Chain,28,1757,4677.19,0.74,0.5,0.83,1,7.7
TRK-386488,Shanghai Port (CN),Port of New York (US),OceanNet Logistics,30,707,8288.64,0.24,0.85,0.86,1,9.4
TRK-519453,Rotterdam (NL),Port of Seattle (US),OceanNet Logistics,15,1524,3968.11,0.26,0.24,0.95,0,0.0
TRK-455505,Ningbo-Zhoushan (CN),Port of Seattle (US),OceanNet Logistics,28,1316,7698.52,0.29,0.94,0.71,1,8.8
TRK-485191,Singapore (SG),Port of Oakland (US),FedEx Supply Chain,27,324,4769.06,0.23,0.11,0.96,0,0.0
TRK-940064,Shanghai Port (CN),Port of Vancouver (CA),OceanNet Logistics,9,1379,3743.85,0.17,0.56,0.83,0,0.0
TRK-182760,Shenzhen Port (CN),Port of Oakland (US),DHL Express,14,817,3992.87,0.36,0.77,0.72,1,4.0
TRK-671971,Hamburg Port (DE),Port of New York (US),Maersk Line,20,1901,3373.37,0.8,0.93,0.74,1,7.0
TRK-183958,Hamburg Port (DE),Port of Vancouver (CA),FedEx Supply Chain,6,2268,2239.73,0.09,0.57,0.81,0,0.0
TRK-421384,Shenzhen Port (CN),Port of Oakland (US),OceanNet Logistics,25,286,3275.18,0.76,0.33,0.71,1,7.8
TRK-274739,Rotterdam (NL),Port of Seattle (US),FedEx Supply Chain,17,2023,5897.47,0.3,0.69,0.78,0,0.0
TRK-568849,Shanghai Port (CN),Port of Vancouver (CA),FedEx Supply Chain,11,2002,3138.75,0.13,0.42,0.75,0,0.0
TRK-744718,Shenzhen Port (CN),Port of New York (US),Maersk Line,33,564,8537.51,0.89,0.14,0.83,1,8.5
TRK-178686,Rotterdam (NL),Port of Vancouver (CA),OceanNet Logistics,16,1025,3298.57,0.65,0.83,0.92,1,7.0
TRK-480959,Yokohama (JP),Port of Vancouver (CA),DHL Express,19,327,4257.68,0.24,0.24,0.79,0,0.0
TRK-132653,Ningbo-Zhoushan (CN),Port of Oakland (US),OceanNet Logistics,27,384,4548.96,0.37,0.42,0.9,0,0.0
TRK-136489,Ningbo-Zhoushan (CN),Port of Los Angeles (US),DHL Express,9,1049,1941.15,0.68,0.22,0.89,0,0.0
TRK-916332,Rotterdam (NL),Port of New York (US),FedEx Supply Chain,33,1991,10862.98,0.32,0.26,0.82,0,0.0
TRK-501451,Yokohama (JP),Port of Los Angeles (US),Global Freight Air,10,2386,3814.14,0.54,0.15,0.71,0,0.0
TRK-260891,Rotterdam (NL),Port of Seattle (US),FedEx Supply Chain,27,377,4743.85,0.12,0.94,0.75,1,9.2
TRK-490084,Shenzhen Port (CN),Port of Los Angeles (US),Global Freight Air,23,589,5778.11,0.57,0.83,0.78,1,7.7
TRK-244383,Yokohama (JP),Port of New York (US),OceanNet Logistics,6,286,1313.61,0.35,0.56,0.95,0,0.0
TRK-429657,Rotterdam (NL),Port of New York (US),DHL Express,18,344,3189.74,0.17,0.14,0.87,0,0.0
TRK-218959,Shanghai Port (CN),Port of Vancouver (CA),DHL Express,19,405,3910.5,0.49,0.23,0.89,0,0.0
TRK-623285,Yokohama (JP),Port of Seattle (US),Global Freight Air,25,1509,6287.47,0.1,0.31,0.73,0,0.0
TRK-223481,Hamburg Port (DE),Port of New York (US),OceanNet Logistics,15,111,3978.74,0.9,0.74,0.7,1,4.7
TRK-324993,Yokohama (JP),Port of New York (US),OceanNet Logistics,24,1219,6105.43,0.26,0.61,0.92,0,0.0
TRK-309902,Shanghai Port (CN),Port of Long Beach (US),Maersk Line,14,2450,2725.4,0.6,0.81,0.71,1,6.5
TRK-574001,Ningbo-Zhoushan (CN),Port of Vancouver (CA),OceanNet Logistics,6,1597,2415.57,0.16,0.08,0.88,0,0.0
TRK-192055,Singapore (SG),Port of Vancouver (CA),FedEx Supply Chain,29,1811,6910.25,0.43,0.54,0.75,1,7.1
TRK-800280,Hamburg Port (DE),Port of Vancouver (CA),Maersk Line,29,1201,7973.96,0.58,0.2,0.71,0,0.0
TRK-676713,Yokohama (JP),Port of New York (US),FedEx Supply Chain,25,1992,5999.0,0.88,0.42,0.74,1,8.9
TRK-992717,Ningbo-Zhoushan (CN),Port of Vancouver (CA),DHL Express,8,2353,4575.34,0.59,0.33,0.94,0,0.0
TRK-932250,Hamburg Port (DE),Port of Oakland (US),DHL Express,24,2441,4180.52,0.29,0.25,0.89,0,0.0
TRK-227257,Ningbo-Zhoushan (CN),Port of Long Beach (US),DHL Express,12,1878,2999.48,0.71,0.34,0.89,0,0.0
TRK-928766,Shenzhen Port (CN),Port of Los Angeles (US),FedEx Supply Chain,18,2464,3965.84,0.13,0.8,0.97,0,0.0
TRK-680933,Yokohama (JP),Port of New York (US),OceanNet Logistics,6,2256,3819.7,0.31,0.32,0.96,0,0.0
TRK-942700,Yokohama (JP),Port of Long Beach (US),Global Freight Air,25,1478,4888.12,0.06,0.54,0.95,0,0.0
TRK-190403,Shanghai Port (CN),Port of New York (US),OceanNet Logistics,31,2438,9154.62,0.78,0.4,0.89,1,10.7
TRK-851759,Rotterdam (NL),Port of Seattle (US),Global Freight Air,31,2219,6036.94,0.14,0.21,0.99,0,0.0
TRK-530749,Singapore (SG),Port of Seattle (US),Global Freight Air,28,2201,10197.09,0.57,0.78,0.79,1,8.2
TRK-177333,Ningbo-Zhoushan (CN),Port of New York (US),Maersk Line,21,805,5527.71,0.33,0.17,0.88,0,0.0
TRK-571832,Shenzhen Port (CN),Port of Vancouver (CA),Global Freight Air,7,1598,2062.37,0.28,0.77,0.82,0,0.0
TRK-461249,Ningbo-Zhoushan (CN),Port of Oakland (US),Global Freight Air,23,270,2969.91,0.31,0.45,0.88,0,0.0
TRK-290802,Singapore (SG),Port of Long Beach (US),OceanNet Logistics,26,1166,4151.17,0.92,0.15,0.84,1,7.9
TRK-627290,Singapore (SG),Port of Los Angeles (US),Maersk Line,32,236,4210.27,0.14,0.58,0.86,0,0.0
TRK-643269,Ningbo-Zhoushan (CN),Port of New York (US),DHL Express,18,1902,6149.69,0.09,0.5,0.9,0,0.0
TRK-269834,Hamburg Port (DE),Port of Vancouver (CA),DHL Express,18,2007,5015.84,0.86,0.78,0.87,1,8.0
TRK-462831,Yokohama (JP),Port of New York (US),Maersk Line,28,362,5759.42,0.22,0.68,0.86,0,0.0
TRK-362778,Ningbo-Zhoushan (CN),Port of Vancouver (CA),Global Freight Air,15,1752,4877.39,0.88,0.93,0.94,1,5.9
TRK-387782,Ningbo-Zhoushan (CN),Port of Vancouver (CA),FedEx Supply Chain,24,359,6008.8,0.46,0.42,0.97,0,0.0
TRK-744274,Yokohama (JP),Port of Los Angeles (US),Global Freight Air,27,890,6235.79,0.36,0.78,0.84,1,6.3
TRK-772124,Ningbo-Zhoushan (CN),Port of Oakland (US),Global Freight Air,18,2481,4362.26,0.15,0.15,0.97,0,0.0
TRK-261684,Ningbo-Zhoushan (CN),Port of Vancouver (CA),Global Freight Air,17,2226,6233.92,0.05,0.6,0.88,0,0.0
TRK-855638,Yokohama (JP),Port of New York (US),Global Freight Air,26,343,5229.49,0.42,0.71,0.74,1,6.6
TRK-143195,Singapore (SG),Port of Los Angeles (US),Maersk Line,14,749,3230.59,0.15,0.83,0.79,0,0.0
TRK-147670,Rotterdam (NL),Port of Oakland (US),FedEx Supply Chain,16,1311,4330.31,0.24,0.1,0.86,0,0.0
TRK-782759,Ningbo-Zhoushan (CN),Port of Oakland (US),OceanNet Logistics,34,556,4904.72,0.28,0.32,0.85,0,0.0
TRK-748133,Rotterdam (NL),Port of Los Angeles (US),OceanNet Logistics,15,1406,3299.33,0.2,0.84,0.86,0,0.0
TRK-757629,Yokohama (JP),Port of New York (US),FedEx Supply Chain,31,2407,8324.04,0.34,0.47,0.85,0,0.0
TRK-606404,Ningbo-Zhoushan (CN),Port of Vancouver (CA),OceanNet Logistics,34,1401,8492.61,0.8,0.76,0.78,1,13.0
TRK-411882,Shenzhen Port (CN),Port of Los Angeles (US),Maersk Line,5,541,1503.45,0.4,0.59,0.93,0,0.0
TRK-265759,Shenzhen Port (CN),Port of Seattle (US),OceanNet Logistics,23,1224,7221.41,0.06,0.86,0.74,0,0.0
TRK-587002,Ningbo-Zhoushan (CN),Port of New York (US),Global Freight Air,16,961,4695.65,0.13,0.78,0.78,0,0.0
TRK-250647,Hamburg Port (DE),Port of Vancouver (CA),FedEx Supply Chain,34,370,4518.21,0.15,0.16,0.75,0,0.0
TRK-869864,Singapore (SG),Port of New York (US),OceanNet Logistics,22,1871,7632.12,0.8,0.23,0.83,1,5.5
TRK-237118,Singapore (SG),Port of New York (US),Global Freight Air,8,980,1760.98,0.25,0.89,0.84,0,0.0
TRK-688933,Shanghai Port (CN),Port of New York (US),DHL Express,27,1690,7802.08,0.2,0.42,0.7,0,0.0
TRK-589131,Shanghai Port (CN),Port of New York (US),OceanNet Logistics,21,364,5372.16,0.79,0.76,0.78,1,8.9
TRK-359961,Ningbo-Zhoushan (CN),Port of Los Angeles (US),Maersk Line,31,989,6234.01,0.2,0.22,0.76,0,0.0
TRK-404309,Shenzhen Port (CN),Port of Oakland (US),OceanNet Logistics,19,134,3529.3,0.51,0.48,0.81,1,7.0
TRK-360330,Singapore (SG),Port of Long Beach (US),FedEx Supply Chain,24,274,3318.37,0.11,0.57,0.86,0,0.0
TRK-705748,Rotterdam (NL),Port of New York (US),DHL Express,20,2156,7152.97,0.09,0.14,0.71,0,0.0
TRK-900190,Ningbo-Zhoushan (CN),Port of Seattle (US),Global Freight Air,13,1913,4364.72,0.09,0.9,0.94,0,0.0
TRK-589491,Shenzhen Port (CN),Port of New York (US),OceanNet Logistics,28,405,4095.33,0.16,0.52,0.77,0,0.0
TRK-124302,Shanghai Port (CN),Port of Seattle (US),Global Freight Air,29,2318,8962.12,0.09,0.89,0.73,1,6.9
TRK-579441,Ningbo-Zhoushan (CN),Port of Long Beach (US),Global Freight Air,31,1442,8182.35,0.42,0.49,0.82,1,6.2
TRK-470037,Shanghai Port (CN),Port of Los Angeles (US),FedEx Supply Chain,5,913,1718.8,0.92,0.54,0.98,1,2.4
TRK-618934,Yokohama (JP),Port of Vancouver (CA),OceanNet Logistics,17,247,4313.0,0.66,0.54,0.84,1,7.4
TRK-399628,Yokohama (JP),Port of Los Angeles (US),Maersk Line,19,1237,5295.22,0.81,0.34,0.9,1,7.9
TRK-551860,Ningbo-Zhoushan (CN),Port of New York (US),FedEx Supply Chain,17,1551,4865.1,0.72,0.6,0.7,1,5.2
TRK-900961,Shenzhen Port (CN),Port of New York (US),Maersk Line,16,538,4066.65,0.38,0.52,0.72,0,0.0
